id,title,slug,tier,description,street1,street2,city,state,zip,phone,webUrl,linkedin,categories,category_ids
584,Ascension Seton,ascension-seton,Chairman's Circle,Ascension is a faith-based healthcare organization dedicated to transformation through innovation across the continuum of care.,1345 Philomena Street,Suite 402,Austin,TX,78723,(512) 324-1902,http://www.seton.net,,"Health Care, Hospitals","328, 136"
3818,Bailey Square Surgery Center,bailey-square-surgery-center,Chairman's Circle,,98 San Jacinto Boulevard,Suite 1800,Austin,TX,78701,(512) 482-4199,http://www.stdavids.com,,"Health Care, Physicians","328, 198"
585,Dell Children's Medical Center of Central Texas,dell-childrens-medical-center-of-central-texas,Chairman's Circle,,1345 Philomena Street,Suite 402,Austin,TX,78723,(512) 324-1902,http://www.seton.net,,"Health Care, Hospitals","328, 136"
3806,Heart Hospital of Austin,heart-hospital-of-austin,Chairman's Circle,,98 San Jacinto Boulevard,Suite 1800,Austin,TX,78701,(512) 482-4199,http://www.stdavids.com,,"Health Care, Hospitals","328, 136"
3815,Lifeway Home Health,lifeway-home-health,Chairman's Circle,,98 San Jacinto Boulevard,Suite 1800,Austin,TX,78701,(512) 482-4199,http://www.stdavids.com,,"Health Care, Home Healthcare","328, 134"
3808,North Austin Medical Center,north-austin-medical-center,Chairman's Circle,,98 San Jacinto Boulevard,Suite 1800,Austin,TX,78701,(512) 482-4199,http://www.stdavids.com,,"Health Care, Hospitals","328, 136"
3807,Oakwood Surgery Center,oakwood-surgery-center,Chairman's Circle,,98 San Jacinto Boulevard,Suite 1800,Austin,TX,78701,(512) 482-4199,http://www.stdavids.com,,"Health Care, Physicians","328, 198"
3817,Round Rock Medical Center,round-rock-medical-center,Chairman's Circle,,98 San Jacinto Boulevard,Suite 1800,Austin,TX,78701,(512) 482-4199,http://www.stdavids.com,,"Health Care, Hospitals","328, 136"
589,Seton Edgar B. Davis Hospital,seton-edgar-b-davis-hospital,Chairman's Circle,,1345 Philomena Street,Suite 402,Austin,TX,78723,(512) 324-1902,http://www.seton.net,,"Health Care, Hospitals","328, 136"
591,Seton Highland Lakes Hospital,seton-highland-lakes-hospital,Chairman's Circle,,1345 Philomena Street,Suite 402,Austin,TX,78723,(512) 324-1902,http://www.seton.net,,"Health Care, Hospitals","328, 136"
586,Seton Medical Center Austin,seton-medical-center-austin,Chairman's Circle,,1345 Philomena Street,Suite 402,Austin,TX,78723,(512) 324-1902,http://www.seton.net,,"Health Care, Hospitals","328, 136"
